playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.23),weightRooksPos(0.69),weightQueenPos(2.04),weightCastlingBonus(0.75),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_44,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,284.2651000000001,279.4595201005013,1
AI3 PiecePos-Analyzing_101,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,283.65760000000006,279.4595201005013,0.5
AI3 PiecePos-Analyzing_148,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,276.40860000000004,279.4595201005013,0
AI3 PiecePos-Analyzing_121,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,279.1018000000001,279.4595201005013,1
AI3 PiecePos-Analyzing_58,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,277.66560000000004,279.4595201005013,0
AI3 PiecePos-Analyzing_65,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,278.91510000000005,279.4595201005013,1
AI3 PiecePos-Analyzing_149,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,281.8744,279.4595201005013,1
AI3 PiecePos-Analyzing_9,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,273.80300000000005,279.4595201005013,1
AI3 PiecePos-Analyzing_41,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,279.8935000000001,279.4595201005013,1
AI3 PiecePos-Analyzing_69,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,280.7857,279.4595201005013,1
AI3 PiecePos-Analyzing_179,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,273.51919999999996,279.4595201005013,0
AI3 PiecePos-Analyzing_16,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,277.32380000000006,279.4595201005013,0
AI3 PiecePos-Analyzing_165,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,272.88450000000006,279.4595201005013,1
AI3 PiecePos-Analyzing_7,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,275.7483000000001,279.4595201005013,1
AI3 PiecePos-Analyzing_76,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,272.9339,279.4595201005013,1
AI3 PiecePos-Analyzing_54,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,279.02240000000006,279.4595201005013,1
AI3 PiecePos-Analyzing_123,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,276.91620000000006,279.4595201005013,1
AI3 PiecePos-Analyzing_147,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,283.97170000000006,279.4595201005013,0
AI3 PiecePos-Analyzing_114,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,276.24569999999994,279.4595201005013,0
AI3 PiecePos-Analyzing_91,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,282.44410000000005,279.4595201005013,1
AI3 PiecePos-Analyzing_155,4.00,1.00,16.00,1.30,0.23,0.69,2.04,0.75,282.42470000000003,279.4595201005013,0
