playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.30),weightRooksPos(0.65),weightQueenPos(2.07),weightCastlingBonus(1.85),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_121,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_39,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_60,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_41,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,1
AI3 PiecePos-Analyzing_69,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_63,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_76,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_123,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_147,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_91,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_64,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,1
AI3 PiecePos-Analyzing_34,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_131,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_150,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,1
AI3 PiecePos-Analyzing_32,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_37,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,0
AI3 PiecePos-Analyzing_82,4.00,1.00,16.00,1.30,0.30,0.65,2.07,1.85,282.9099,280.2978591133003,0
