playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.30),weightRooksPos(0.65),weightQueenPos(2.07),weightCastlingBonus(1.85),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_121,4.09,1.02,16.22,1.27,0.81,0.99,1.12,0.40,282.4959,281.6302211822652,1
AI3 PiecePos-Analyzing_39,4.04,1.01,15.77,1.32,0.81,0.99,1.10,0.39,275.091,281.6302211822652,1
AI3 PiecePos-Analyzing_60,4.10,1.01,16.08,1.31,0.81,0.99,1.08,0.40,280.25509999999997,281.6302211822652,1
AI3 PiecePos-Analyzing_41,4.08,0.99,16.02,1.30,0.79,0.99,1.08,0.39,279.1576,281.6302211822652,0
AI3 PiecePos-Analyzing_69,4.08,0.98,16.26,1.29,0.78,1.01,1.09,0.41,283.04230000000007,281.6302211822652,1
AI3 PiecePos-Analyzing_63,4.04,0.98,16.04,1.29,0.81,1.00,1.10,0.40,279.36699999999996,281.6302211822652,1
AI3 PiecePos-Analyzing_76,4.03,1.01,15.87,1.28,0.82,0.99,1.12,0.41,276.6804,281.6302211822652,1
AI3 PiecePos-Analyzing_123,4.09,1.02,15.87,1.31,0.80,1.02,1.11,0.40,276.94370000000004,281.6302211822652,1
AI3 PiecePos-Analyzing_147,4.09,1.02,15.86,1.27,0.78,1.00,1.09,0.40,276.6713,281.6302211822652,1
AI3 PiecePos-Analyzing_91,4.02,1.02,16.17,1.32,0.81,0.99,1.11,0.41,281.4787000000001,281.6302211822652,1
AI3 PiecePos-Analyzing_64,4.00,1.02,16.20,1.28,0.79,0.99,1.07,0.39,281.7009,281.6302211822652,0
AI3 PiecePos-Analyzing_34,4.00,0.99,15.93,1.28,0.81,0.98,1.12,0.40,277.4724,281.6302211822652,1
AI3 PiecePos-Analyzing_131,4.05,0.98,15.99,1.28,0.79,1.00,1.13,0.40,278.65009999999995,281.6302211822652,1
AI3 PiecePos-Analyzing_150,4.06,1.02,16.01,1.33,0.81,0.99,1.09,0.41,279.05030000000005,281.6302211822652,0
AI3 PiecePos-Analyzing_32,4.06,1.02,15.85,1.28,0.81,1.01,1.10,0.41,276.459,281.6302211822652,1
AI3 PiecePos-Analyzing_37,4.05,0.99,16.18,1.32,0.81,0.99,1.11,0.41,281.72870000000006,281.6302211822652,1
AI3 PiecePos-Analyzing_82,4.03,0.99,15.71,1.32,0.81,1.00,1.09,0.40,274.0753,281.6302211822652,1
AI3 PiecePos-Analyzing_185,4.04,1.01,15.75,1.31,0.80,1.00,1.12,0.41,274.8399,281.6302211822652,1
AI3 PiecePos-Analyzing_97,4.05,0.99,15.64,1.32,0.79,1.00,1.11,0.40,273.07070000000004,281.6302211822652,1
AI3 PiecePos-Analyzing_89,4.07,1.00,16.25,1.32,0.80,1.01,1.11,0.40,282.9302,281.6302211822652,0
AI3 PiecePos-Analyzing_90,4.01,1.00,16.36,1.31,0.80,1.01,1.09,0.41,284.4143,281.6302211822652,1
AI3 PiecePos-Analyzing_13,4.08,0.99,16.02,1.27,0.81,1.02,1.10,0.40,279.204,281.6302211822652,1
AI3 PiecePos-Analyzing_100,4.01,1.01,16.29,1.32,0.78,1.02,1.10,0.40,283.32,281.6302211822652,0
AI3 PiecePos-Analyzing_117,4.08,1.01,15.84,1.27,0.79,1.02,1.09,0.40,276.31730000000005,281.6302211822652,1
AI3 PiecePos-Analyzing_62,4.06,0.98,15.79,1.31,0.79,1.02,1.09,0.40,275.45930000000004,281.6302211822652,1
AI3 PiecePos-Analyzing_61,4.10,1.02,16.37,1.33,0.79,1.01,1.10,0.41,284.99800000000005,281.6302211822652,1
AI3 PiecePos-Analyzing_111,4.07,1.01,16.27,1.27,0.78,1.01,1.10,0.39,283.15,281.6302211822652,0
AI3 PiecePos-Analyzing_107,4.01,1.00,15.69,1.33,0.78,1.00,1.11,0.39,273.71219999999994,281.6302211822652,1
AI3 PiecePos-Analyzing_81,4.05,1.01,16.25,1.27,0.78,0.98,1.13,0.40,282.81109999999995,281.6302211822652,1
AI3 PiecePos-Analyzing_87,4.09,1.02,16.34,1.33,0.81,1.01,1.08,0.41,284.44259999999997,281.6302211822652,1
AI3 PiecePos-Analyzing_104,4.05,0.99,16.33,1.28,0.79,1.01,1.11,0.39,284.0467,281.6302211822652,0
AI3 PiecePos-Analyzing_187,4.01,1.01,16.11,1.29,0.79,0.98,1.11,0.40,280.3987000000001,281.6302211822652,1
AI3 PiecePos-Analyzing_163,4.01,1.00,16.32,1.28,0.82,0.99,1.09,0.41,283.72830000000005,281.6302211822652,1
AI3 PiecePos-Analyzing_71,4.05,1.01,16.07,1.30,0.80,0.98,1.08,0.40,279.8726,281.6302211822652,1
AI3 PiecePos-Analyzing_180,4.03,0.99,16.17,1.33,0.82,0.99,1.08,0.40,281.4241,281.6302211822652,1
AI3 PiecePos-Analyzing_27,4.01,0.99,16.12,1.32,0.80,0.99,1.11,0.39,280.56870000000004,281.6302211822652,0
AI3 PiecePos-Analyzing_193,4.04,0.99,16.32,1.31,0.81,0.98,1.09,0.39,283.83079999999995,281.6302211822652,1
AI3 PiecePos-Analyzing_14,4.08,0.98,16.03,1.31,0.79,0.98,1.09,0.41,279.37180000000006,281.6302211822652,0
AI3 PiecePos-Analyzing_80,4.04,1.01,15.74,1.28,0.80,0.98,1.11,0.40,274.5887,281.6302211822652,1
AI3 PiecePos-Analyzing_199,4.07,1.01,16.24,1.30,0.82,1.00,1.12,0.41,282.7929,281.6302211822652,0
AI3 PiecePos-Analyzing_38,4.02,0.98,16.07,1.32,0.81,0.99,1.10,0.40,279.7995,281.6302211822652,0
AI3 PiecePos-Analyzing_112,4.04,1.00,15.91,1.32,0.80,1.02,1.10,0.39,277.33750000000003,281.6302211822652,1
AI3 PiecePos-Analyzing_145,4.04,0.99,16.01,1.29,0.80,0.98,1.11,0.39,278.88320000000004,281.6302211822652,0
AI3 PiecePos-Analyzing_26,4.09,1.01,16.25,1.30,0.80,1.01,1.09,0.40,282.9528,281.6302211822652,1
AI3 PiecePos-Analyzing_79,4.09,1.01,15.91,1.30,0.80,0.99,1.12,0.40,277.56190000000004,281.6302211822652,1
AI3 PiecePos-Analyzing_159,4.01,0.98,16.09,1.29,0.79,0.99,1.11,0.40,280.05520000000007,281.6302211822652,1
AI3 PiecePos-Analyzing_98,4.00,1.00,15.74,1.32,0.80,1.01,1.09,0.40,274.44880000000006,281.6302211822652,1
