playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_16,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_5,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_15,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_13,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_22,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_9,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_2,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_20,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,0.0
AI3 PiecePos-Analyzing_17,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_21,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_3,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_1,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_18,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_11,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_14,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_19,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_12,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_10,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_6,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_7,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
AI3 PiecePos-Analyzing_8,4.00,1.00,16.00,1.30,0.80,1.00,1.10,0.40,277.7,277.69882436260554,1.0
