playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.93,1.01,16.16,1.29,0.20,0.98,1.11,0.40,279.4880000000001,277.34074509803935,0.0
AI3 PiecePos-Analyzing_34,4.00,0.99,15.73,1.32,0.20,0.98,1.08,0.40,272.8740000000001,277.34074509803935,1.0
AI3 PiecePos-Analyzing_31,4.00,1.02,16.26,1.28,0.20,0.99,1.08,0.40,281.34200000000004,277.34074509803935,1.0
AI3 PiecePos-Analyzing_33,3.95,1.01,15.97,1.28,0.20,0.98,1.12,0.41,276.5300000000001,277.34074509803935,0.0
AI3 PiecePos-Analyzing_35,3.93,0.99,16.38,1.30,0.20,1.02,1.09,0.40,283.019,277.34074509803935,0.0
AI3 PiecePos-Analyzing_16,4.00,1.02,15.78,1.32,0.20,1.01,1.10,0.39,273.752,277.34074509803935,0.0
AI3 PiecePos-Analyzing_5,3.93,1.01,15.90,1.32,0.20,0.98,1.10,0.41,275.36,277.34074509803935,0.0
AI3 PiecePos-Analyzing_26,4.09,0.99,16.31,1.28,0.20,1.00,1.08,0.40,282.482,277.34074509803935,0.0
AI3 PiecePos-Analyzing_25,3.99,0.99,16.28,1.28,0.20,0.99,1.12,0.39,281.63200000000006,277.34074509803935,0.0
AI3 PiecePos-Analyzing_24,4.04,1.00,16.05,1.32,0.20,0.99,1.07,0.40,278.1630000000001,277.34074509803935,1.0
AI3 PiecePos-Analyzing_15,4.08,1.01,16.27,1.32,0.20,1.00,1.12,0.39,281.91400000000004,277.34074509803935,1.0
AI3 PiecePos-Analyzing_13,3.91,1.02,15.68,1.28,0.20,1.00,1.08,0.41,271.716,277.34074509803935,0.0
AI3 PiecePos-Analyzing_29,3.99,1.01,15.89,1.29,0.20,0.98,1.11,0.39,275.4040000000001,277.34074509803935,0.0
AI3 PiecePos-Analyzing_22,4.04,1.02,15.78,1.32,0.20,1.02,1.12,0.41,273.952,277.34074509803935,1.0
AI3 PiecePos-Analyzing_9,4.07,1.01,15.80,1.29,0.20,1.01,1.12,0.40,274.3290000000001,277.34074509803935,1.0
AI3 PiecePos-Analyzing_2,4.04,1.02,15.95,1.28,0.20,1.00,1.08,0.40,276.552,277.34074509803935,1.0
AI3 PiecePos-Analyzing_32,3.91,0.98,15.99,1.32,0.20,1.02,1.11,0.39,276.733,277.34074509803935,0.0
AI3 PiecePos-Analyzing_38,3.90,0.98,16.24,1.32,0.20,1.00,1.11,0.40,280.677,277.34074509803935,0.0
AI3 PiecePos-Analyzing_20,3.93,0.98,16.19,1.30,0.20,1.00,1.13,0.39,279.98900000000003,277.34074509803935,0.0
AI3 PiecePos-Analyzing_37,3.96,0.98,16.09,1.33,0.20,0.99,1.09,0.41,278.502,277.34074509803935,0.0
AI3 PiecePos-Analyzing_17,3.98,0.98,15.82,1.28,0.20,1.00,1.09,0.41,274.207,277.34074509803935,0.0
AI3 PiecePos-Analyzing_21,3.91,1.02,15.73,1.27,0.20,1.00,1.10,0.40,272.5210000000001,277.34074509803935,0.0
AI3 PiecePos-Analyzing_3,4.06,1.02,15.68,1.31,0.20,1.00,1.12,0.41,272.399,277.34074509803935,0.0
AI3 PiecePos-Analyzing_36,4.03,1.00,15.67,1.31,0.20,1.01,1.10,0.41,272.08699999999993,277.34074509803935,0.0
AI3 PiecePos-Analyzing_1,4.02,0.98,15.87,1.31,0.20,1.00,1.10,0.40,275.21299999999997,277.34074509803935,0.0
AI3 PiecePos-Analyzing_18,3.94,1.01,15.87,1.28,0.20,0.98,1.12,0.39,274.88200000000006,277.34074509803935,0.0
AI3 PiecePos-Analyzing_11,4.08,1.02,16.07,1.33,0.20,1.01,1.11,0.41,278.74399999999997,277.34074509803935,1.0
AI3 PiecePos-Analyzing_23,4.00,0.99,16.06,1.32,0.20,0.99,1.09,0.41,278.17900000000003,277.34074509803935,0.0
AI3 PiecePos-Analyzing_14,4.05,1.02,15.75,1.28,0.20,1.01,1.13,0.39,273.45300000000003,277.34074509803935,1.0
AI3 PiecePos-Analyzing_19,3.93,1.01,16.29,1.33,0.20,0.98,1.12,0.40,281.6310000000001,277.34074509803935,0.0
AI3 PiecePos-Analyzing_12,4.08,1.00,16.30,1.27,0.20,1.02,1.09,0.40,282.31000000000006,277.34074509803935,1.0
AI3 PiecePos-Analyzing_28,4.07,1.00,16.12,1.32,0.20,0.98,1.12,0.40,279.44800000000015,277.34074509803935,1.0
AI3 PiecePos-Analyzing_30,3.91,0.98,16.40,1.29,0.20,0.99,1.11,0.39,283.22400000000005,277.34074509803935,0.0
AI3 PiecePos-Analyzing_10,4.00,1.01,15.88,1.29,0.20,1.00,1.09,0.39,275.2820000000001,277.34074509803935,0.0
AI3 PiecePos-Analyzing_6,3.93,0.98,16.25,1.31,0.20,0.99,1.09,0.40,280.91200000000003,277.34074509803935,0.0
AI3 PiecePos-Analyzing_7,3.91,1.01,15.71,1.28,0.20,1.02,1.10,0.39,272.21999999999997,277.34074509803935,0.0
AI3 PiecePos-Analyzing_27,3.99,1.02,16.08,1.30,0.20,1.00,1.11,0.41,278.495,277.34074509803935,0.0
AI3 PiecePos-Analyzing_8,3.99,1.02,15.84,1.33,0.20,1.00,1.08,0.41,274.661,277.34074509803935,0.0
