playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,4.05,1.00,15.90,1.31,0.80,1.02,1.08,0.40,276.311,277.4639504950498,0.0
AI3 PiecePos-Analyzing_31,3.96,0.99,16.08,1.32,0.79,1.00,1.10,0.39,278.82399999999996,277.4639504950498,0.0
AI3 PiecePos-Analyzing_16,3.95,1.02,15.91,1.28,0.82,1.00,1.07,0.40,276.03700000000003,277.4639504950498,0.0
AI3 PiecePos-Analyzing_5,3.97,0.99,16.03,1.27,0.80,0.98,1.11,0.39,277.99800000000005,277.4639504950498,0.0
AI3 PiecePos-Analyzing_26,4.09,1.02,15.61,1.28,0.80,1.01,1.09,0.41,271.81699999999995,277.4639504950498,1.0
AI3 PiecePos-Analyzing_25,3.96,0.99,15.88,1.33,0.79,1.00,1.12,0.39,275.65900000000005,277.4639504950498,0.0
AI3 PiecePos-Analyzing_24,4.01,1.00,16.35,1.33,0.81,1.00,1.09,0.40,283.3760000000001,277.4639504950498,0.5
AI3 PiecePos-Analyzing_15,4.07,0.98,16.33,1.33,0.81,1.00,1.09,0.39,283.272,277.4639504950498,1.0
AI3 PiecePos-Analyzing_13,4.03,0.99,16.12,1.33,0.81,1.02,1.12,0.39,279.81500000000005,277.4639504950498,0.0
AI3 PiecePos-Analyzing_29,3.96,0.99,15.72,1.29,0.81,1.02,1.10,0.40,273.06500000000005,277.4639504950498,0.0
AI3 PiecePos-Analyzing_22,3.99,0.98,15.68,1.30,0.80,0.98,1.08,0.39,272.474,277.4639504950498,0.0
AI3 PiecePos-Analyzing_9,4.02,1.01,16.07,1.30,0.79,1.02,1.09,0.40,278.911,277.4639504950498,1.0
AI3 PiecePos-Analyzing_2,4.08,0.99,15.71,1.30,0.82,1.02,1.11,0.40,273.41700000000003,277.4639504950498,0.5
AI3 PiecePos-Analyzing_32,4.06,1.00,16.30,1.30,0.82,1.01,1.11,0.40,282.77700000000004,277.4639504950498,0.5
AI3 PiecePos-Analyzing_20,4.08,0.99,15.82,1.28,0.82,1.01,1.12,0.39,275.148,277.4639504950498,0.0
AI3 PiecePos-Analyzing_17,3.97,1.00,15.64,1.33,0.81,1.01,1.10,0.41,271.881,277.4639504950498,0.0
AI3 PiecePos-Analyzing_21,3.92,0.99,16.40,1.33,0.79,0.99,1.12,0.39,283.809,277.4639504950498,0.0
AI3 PiecePos-Analyzing_3,4.00,1.01,15.64,1.28,0.79,1.00,1.07,0.41,271.887,277.4639504950498,0.0
AI3 PiecePos-Analyzing_1,3.97,1.00,15.68,1.29,0.82,1.00,1.13,0.41,272.5,277.4639504950498,0.0
AI3 PiecePos-Analyzing_18,4.06,1.01,15.91,1.33,0.79,1.02,1.10,0.39,276.55699999999996,277.4639504950498,0.0
AI3 PiecePos-Analyzing_11,3.98,1.02,16.19,1.28,0.78,1.00,1.10,0.39,280.634,277.4639504950498,0.0
AI3 PiecePos-Analyzing_23,4.09,1.00,15.97,1.29,0.81,0.99,1.12,0.40,277.5870000000001,277.4639504950498,0.0
AI3 PiecePos-Analyzing_14,3.90,1.01,15.83,1.27,0.82,0.99,1.09,0.40,274.54600000000005,277.4639504950498,0.0
AI3 PiecePos-Analyzing_19,4.03,0.98,15.79,1.27,0.80,1.02,1.12,0.40,274.44300000000004,277.4639504950498,0.0
AI3 PiecePos-Analyzing_12,3.97,0.99,16.07,1.30,0.80,1.00,1.08,0.40,278.668,277.4639504950498,0.0
AI3 PiecePos-Analyzing_28,3.97,1.01,15.82,1.31,0.78,1.01,1.11,0.40,274.728,277.4639504950498,0.0
AI3 PiecePos-Analyzing_30,3.96,1.01,16.39,1.29,0.80,0.98,1.10,0.40,283.75700000000006,277.4639504950498,0.0
AI3 PiecePos-Analyzing_10,4.07,1.00,16.15,1.27,0.82,1.02,1.12,0.40,280.399,277.4639504950498,0.0
AI3 PiecePos-Analyzing_6,4.06,0.98,16.38,1.28,0.78,1.02,1.09,0.39,283.96299999999997,277.4639504950498,1.0
AI3 PiecePos-Analyzing_7,3.92,1.02,16.15,1.27,0.82,1.00,1.10,0.40,279.777,277.4639504950498,0.0
AI3 PiecePos-Analyzing_27,3.93,1.00,15.80,1.28,0.81,0.99,1.09,0.40,274.18100000000004,277.4639504950498,0.0
AI3 PiecePos-Analyzing_8,4.01,1.00,15.60,1.33,0.80,0.98,1.09,0.40,271.348,277.4639504950498,1.0
