playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.99,1.01,15.60,1.31,0.81,0.99,1.11,0.40,271.29200000000003,277.4355100000002,0.0
AI3 PiecePos-Analyzing_16,4.08,1.01,15.65,1.28,0.80,1.00,1.11,0.40,272.415,277.4355100000002,0.0
AI3 PiecePos-Analyzing_5,3.92,1.02,16.03,1.30,0.79,1.00,1.09,0.39,277.857,277.4355100000002,0.0
AI3 PiecePos-Analyzing_15,4.05,0.99,16.18,1.29,0.78,1.00,1.09,0.40,280.7300000000001,277.4355100000002,0.5
AI3 PiecePos-Analyzing_13,4.01,1.00,15.67,1.32,0.80,1.01,1.08,0.40,272.474,277.4355100000002,0.0
AI3 PiecePos-Analyzing_9,3.91,1.01,16.27,1.32,0.79,1.00,1.11,0.39,281.695,277.4355100000002,0.0
AI3 PiecePos-Analyzing_2,3.92,1.01,15.99,1.27,0.81,1.00,1.09,0.40,277.1880000000001,277.4355100000002,0.0
AI3 PiecePos-Analyzing_3,3.96,1.00,15.72,1.32,0.79,0.98,1.11,0.39,273.06500000000005,277.4355100000002,0.0
AI3 PiecePos-Analyzing_1,4.01,1.01,15.97,1.32,0.82,1.00,1.09,0.41,277.305,277.4355100000002,0.0
AI3 PiecePos-Analyzing_11,3.96,1.01,16.37,1.32,0.80,1.01,1.10,0.41,283.51,277.4355100000002,0.0
AI3 PiecePos-Analyzing_14,4.04,1.02,16.17,1.31,0.81,0.98,1.10,0.39,280.59700000000004,277.4355100000002,0.5
AI3 PiecePos-Analyzing_12,3.96,0.99,15.85,1.32,0.80,1.00,1.09,0.40,275.14500000000004,277.4355100000002,0.0
AI3 PiecePos-Analyzing_10,3.96,1.00,16.12,1.28,0.79,1.02,1.09,0.41,279.43899999999996,277.4355100000002,0.0
AI3 PiecePos-Analyzing_6,4.04,0.98,16.28,1.27,0.80,1.02,1.08,0.40,282.279,277.4355100000002,0.0
AI3 PiecePos-Analyzing_7,4.00,1.00,16.20,1.32,0.80,0.98,1.09,0.39,280.891,277.4355100000002,0.0
AI3 PiecePos-Analyzing_8,3.94,0.99,15.84,1.28,0.82,1.00,1.09,0.40,274.869,277.4355100000002,0.0
