playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.93,0.98,16.14,1.30,0.81,0.98,0.59,0.40,279.06700000000006,277.7263267326727,0.0
AI3 PiecePos-Analyzing_5,4.09,0.99,15.67,1.28,0.81,0.98,0.61,0.39,272.189,277.7263267326727,0.0
AI3 PiecePos-Analyzing_13,3.98,1.01,16.10,1.31,0.79,0.98,0.60,0.41,278.66900000000004,277.7263267326727,0.0
AI3 PiecePos-Analyzing_9,3.90,1.02,16.32,1.33,0.80,0.98,0.59,0.39,281.894,277.7263267326727,0.0
AI3 PiecePos-Analyzing_2,4.03,0.99,16.24,1.29,0.81,0.98,0.60,0.40,281.0750000000001,277.7263267326727,0.0
AI3 PiecePos-Analyzing_3,4.01,0.98,15.71,1.28,0.78,1.00,0.60,0.41,272.492,277.7263267326727,0.0
AI3 PiecePos-Analyzing_1,3.94,0.98,15.66,1.28,0.80,1.01,0.60,0.39,271.43,277.7263267326727,0.0
AI3 PiecePos-Analyzing_11,3.94,0.98,16.17,1.28,0.79,1.02,0.59,0.39,279.581,277.7263267326727,0.0
AI3 PiecePos-Analyzing_14,3.99,0.99,15.93,1.33,0.82,0.98,0.61,0.40,276.026,277.7263267326727,0.0
AI3 PiecePos-Analyzing_12,4.03,1.00,15.62,1.29,0.81,0.98,0.61,0.39,271.172,277.7263267326727,0.0
AI3 PiecePos-Analyzing_10,4.09,1.00,16.15,1.29,0.81,1.02,0.61,0.40,279.93600000000004,277.7263267326727,0.0
AI3 PiecePos-Analyzing_6,3.92,0.99,15.79,1.31,0.81,1.00,0.59,0.39,273.466,277.7263267326727,0.0
AI3 PiecePos-Analyzing_7,3.93,0.98,16.10,1.28,0.79,1.00,0.61,0.40,278.427,277.7263267326727,0.0
AI3 PiecePos-Analyzing_8,3.97,0.98,16.29,1.33,0.81,0.99,0.61,0.41,281.702,277.7263267326727,0.0
