playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.99,1.01,15.61,1.27,0.82,1.01,1.84,0.41,272.235,277.5968799999997,0.0
AI3 PiecePos-Analyzing_16,3.98,1.00,16.39,1.29,0.78,0.99,1.80,0.41,284.5950000000001,277.5968799999997,0.0
AI3 PiecePos-Analyzing_5,4.10,1.02,15.79,1.29,0.78,1.02,1.78,0.40,275.4990000000001,277.5968799999997,1.0
AI3 PiecePos-Analyzing_26,4.07,1.01,16.03,1.33,0.81,1.00,1.84,0.40,279.3310000000001,277.5968799999997,1.0
AI3 PiecePos-Analyzing_25,3.98,1.00,15.89,1.28,0.80,0.98,1.79,0.40,276.57300000000004,277.5968799999997,0.0
AI3 PiecePos-Analyzing_24,4.06,1.01,16.11,1.29,0.81,1.02,1.82,0.41,280.521,277.5968799999997,1.0
AI3 PiecePos-Analyzing_15,4.01,0.98,15.94,1.28,0.79,1.00,1.79,0.39,277.481,277.5968799999997,1.0
AI3 PiecePos-Analyzing_13,4.05,1.02,15.97,1.32,0.79,1.00,1.80,0.40,278.22800000000007,277.5968799999997,1.0
AI3 PiecePos-Analyzing_29,4.00,1.01,15.98,1.32,0.78,1.00,1.82,0.41,278.196,277.5968799999997,1.0
AI3 PiecePos-Analyzing_22,4.08,1.01,15.73,1.32,0.78,0.98,1.78,0.41,274.45200000000006,277.5968799999997,1.0
AI3 PiecePos-Analyzing_9,4.01,1.02,15.78,1.30,0.81,1.02,1.84,0.41,275.08599999999996,277.5968799999997,1.0
AI3 PiecePos-Analyzing_2,4.09,0.99,15.71,1.30,0.79,0.98,1.80,0.41,274.15600000000006,277.5968799999997,1.0
AI3 PiecePos-Analyzing_20,4.09,1.00,16.26,1.28,0.82,1.00,1.76,0.41,282.94,277.5968799999997,1.0
AI3 PiecePos-Analyzing_17,4.00,1.01,15.61,1.30,0.82,0.98,1.77,0.39,272.199,277.5968799999997,0.0
AI3 PiecePos-Analyzing_21,3.94,0.99,15.91,1.27,0.80,0.98,1.84,0.41,276.769,277.5968799999997,0.0
AI3 PiecePos-Analyzing_3,3.93,1.00,16.26,1.28,0.80,0.98,1.76,0.40,282.26,277.5968799999997,0.0
AI3 PiecePos-Analyzing_1,3.99,1.00,16.26,1.30,0.80,0.98,1.78,0.41,282.552,277.5968799999997,0.0
AI3 PiecePos-Analyzing_18,3.99,0.99,16.40,1.31,0.81,0.99,1.77,0.40,284.798,277.5968799999997,0.0
AI3 PiecePos-Analyzing_11,4.05,0.99,16.35,1.28,0.82,1.02,1.77,0.40,284.237,277.5968799999997,1.0
AI3 PiecePos-Analyzing_23,4.01,0.99,15.74,1.28,0.78,1.02,1.81,0.39,274.325,277.5968799999997,1.0
AI3 PiecePos-Analyzing_14,3.90,0.98,15.90,1.27,0.82,0.99,1.76,0.40,276.37300000000005,277.5968799999997,0.0
AI3 PiecePos-Analyzing_19,4.08,1.01,15.65,1.31,0.80,1.00,1.80,0.39,273.209,277.5968799999997,1.0
AI3 PiecePos-Analyzing_12,4.06,0.99,16.29,1.28,0.82,0.99,1.78,0.41,283.302,277.5968799999997,1.0
AI3 PiecePos-Analyzing_28,3.93,1.01,15.81,1.29,0.80,1.01,1.77,0.41,275.128,277.5968799999997,0.0
AI3 PiecePos-Analyzing_30,4.09,1.00,15.99,1.33,0.81,1.00,1.84,0.41,278.765,277.5968799999997,1.0
AI3 PiecePos-Analyzing_10,4.03,0.99,15.69,1.31,0.79,1.01,1.78,0.41,273.61699999999996,277.5968799999997,1.0
AI3 PiecePos-Analyzing_6,3.96,1.01,15.85,1.31,0.81,1.01,1.77,0.39,275.914,277.5968799999997,0.0
AI3 PiecePos-Analyzing_7,3.93,1.01,16.30,1.27,0.82,0.98,1.77,0.41,282.92800000000005,277.5968799999997,0.0
AI3 PiecePos-Analyzing_27,4.00,1.00,16.26,1.27,0.79,1.00,1.77,0.39,282.54600000000005,277.5968799999997,1.0
AI3 PiecePos-Analyzing_8,3.99,0.99,15.80,1.33,0.80,0.99,1.81,0.41,275.26399999999995,277.5968799999997,0.0
