playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.98,0.99,15.86,1.30,0.80,1.83,1.10,0.39,276.19599999999997,277.99641059602635,0.0
AI3 PiecePos-Analyzing_34,3.97,1.01,15.78,1.31,0.78,1.79,1.08,0.39,274.831,277.99641059602635,0.0
AI3 PiecePos-Analyzing_31,4.04,0.99,15.87,1.29,0.80,1.83,1.10,0.39,276.58299999999997,277.99641059602635,1.0
AI3 PiecePos-Analyzing_33,3.97,1.01,16.37,1.32,0.82,1.83,1.13,0.40,284.415,277.99641059602635,0.0
AI3 PiecePos-Analyzing_35,4.05,0.99,16.15,1.28,0.82,1.81,1.10,0.39,281.08599999999996,277.99641059602635,1.0
AI3 PiecePos-Analyzing_16,3.96,1.01,16.05,1.32,0.81,1.81,1.11,0.39,279.2010000000001,277.99641059602635,0.0
AI3 PiecePos-Analyzing_5,3.99,1.01,16.06,1.29,0.79,1.79,1.10,0.40,279.39900000000006,277.99641059602635,0.0
AI3 PiecePos-Analyzing_26,3.94,0.98,16.12,1.32,0.80,1.83,1.10,0.39,280.212,277.99641059602635,0.0
AI3 PiecePos-Analyzing_25,4.02,0.98,16.10,1.31,0.79,1.78,1.12,0.40,280.16700000000003,277.99641059602635,1.0
AI3 PiecePos-Analyzing_24,4.00,1.00,15.74,1.33,0.79,1.79,1.10,0.40,274.36100000000005,277.99641059602635,0.0
AI3 PiecePos-Analyzing_15,3.97,0.99,15.61,1.27,0.80,1.84,1.08,0.41,272.11299999999994,277.99641059602635,0.0
AI3 PiecePos-Analyzing_13,3.98,1.01,15.95,1.33,0.80,1.80,1.12,0.40,277.69100000000003,277.99641059602635,0.0
AI3 PiecePos-Analyzing_29,3.94,1.01,15.60,1.33,0.81,1.77,1.07,0.40,271.85400000000004,277.99641059602635,0.0
AI3 PiecePos-Analyzing_22,3.90,1.00,16.13,1.31,0.81,1.82,1.07,0.40,280.18800000000005,277.99641059602635,0.0
AI3 PiecePos-Analyzing_9,4.04,1.00,15.68,1.32,0.79,1.78,1.12,0.39,273.55600000000004,277.99641059602635,1.0
AI3 PiecePos-Analyzing_2,3.91,1.01,15.67,1.27,0.78,1.79,1.09,0.40,272.7940000000001,277.99641059602635,0.0
AI3 PiecePos-Analyzing_32,3.98,1.01,16.15,1.31,0.79,1.79,1.11,0.39,280.832,277.99641059602635,0.0
AI3 PiecePos-Analyzing_20,4.07,0.99,16.22,1.28,0.81,1.81,1.09,0.41,282.275,277.99641059602635,1.0
AI3 PiecePos-Analyzing_17,3.99,0.99,15.72,1.31,0.79,1.78,1.08,0.39,273.929,277.99641059602635,0.0
AI3 PiecePos-Analyzing_21,3.95,0.99,16.26,1.29,0.82,1.83,1.10,0.40,282.48300000000006,277.99641059602635,0.0
AI3 PiecePos-Analyzing_3,4.00,1.00,15.90,1.29,0.81,1.76,1.11,0.39,276.862,277.99641059602635,1.0
AI3 PiecePos-Analyzing_36,3.93,0.98,16.28,1.31,0.79,1.77,1.11,0.40,282.666,277.99641059602635,0.0
AI3 PiecePos-Analyzing_1,4.08,0.99,16.20,1.27,0.80,1.82,1.08,0.39,281.965,277.99641059602635,1.0
AI3 PiecePos-Analyzing_18,3.96,1.02,16.27,1.31,0.80,1.76,1.11,0.40,282.664,277.99641059602635,0.0
AI3 PiecePos-Analyzing_11,4.01,1.01,16.27,1.31,0.81,1.76,1.10,0.40,282.851,277.99641059602635,1.0
AI3 PiecePos-Analyzing_23,3.97,1.02,16.01,1.32,0.81,1.84,1.09,0.40,278.62300000000005,277.99641059602635,0.0
AI3 PiecePos-Analyzing_14,3.98,0.98,15.78,1.31,0.81,1.84,1.10,0.40,274.941,277.99641059602635,0.0
AI3 PiecePos-Analyzing_19,3.96,1.01,15.74,1.27,0.80,1.84,1.12,0.41,274.217,277.99641059602635,0.0
AI3 PiecePos-Analyzing_12,3.97,0.99,16.00,1.33,0.80,1.83,1.11,0.40,278.45,277.99641059602635,0.0
AI3 PiecePos-Analyzing_28,3.97,1.00,16.08,1.28,0.80,1.83,1.09,0.41,279.6569999999999,277.99641059602635,0.0
AI3 PiecePos-Analyzing_30,3.96,0.99,16.16,1.28,0.81,1.83,1.10,0.39,280.89799999999997,277.99641059602635,0.0
AI3 PiecePos-Analyzing_10,3.95,1.00,15.71,1.33,0.79,1.76,1.08,0.39,273.625,277.99641059602635,0.0
AI3 PiecePos-Analyzing_6,3.97,0.99,15.82,1.27,0.80,1.79,1.08,0.41,275.423,277.99641059602635,0.0
AI3 PiecePos-Analyzing_7,3.91,1.02,16.05,1.32,0.80,1.83,1.08,0.39,278.99,277.99641059602635,0.0
AI3 PiecePos-Analyzing_27,3.99,1.00,16.15,1.30,0.80,1.83,1.12,0.39,280.90799999999996,277.99641059602635,0.0
AI3 PiecePos-Analyzing_8,3.94,0.99,16.25,1.28,0.81,1.84,1.08,0.41,282.25399999999996,277.99641059602635,0.0
