playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,4.10,0.99,16.11,1.29,1.75,0.98,1.13,0.40,280.61,277.72387128712774,1.0
AI3 PiecePos-Analyzing_5,3.94,0.98,16.23,1.29,1.73,1.02,1.07,0.39,281.83400000000006,277.72387128712774,0.0
AI3 PiecePos-Analyzing_13,4.01,1.01,16.18,1.29,1.78,0.98,1.09,0.41,281.374,277.72387128712774,0.0
AI3 PiecePos-Analyzing_9,3.95,0.99,15.62,1.29,1.72,1.00,1.10,0.40,272.133,277.72387128712774,0.0
AI3 PiecePos-Analyzing_2,3.99,1.01,15.81,1.33,1.79,1.00,1.09,0.41,275.454,277.72387128712774,0.0
AI3 PiecePos-Analyzing_3,3.97,0.99,16.24,1.33,1.79,1.01,1.08,0.39,282.22499999999997,277.72387128712774,0.0
AI3 PiecePos-Analyzing_1,3.93,0.99,15.86,1.30,1.79,1.01,1.09,0.39,275.957,277.72387128712774,0.0
AI3 PiecePos-Analyzing_11,3.96,1.01,16.32,1.28,1.79,0.99,1.11,0.40,283.43700000000007,277.72387128712774,0.0
AI3 PiecePos-Analyzing_12,3.98,1.01,15.99,1.32,1.73,1.02,1.13,0.40,278.293,277.72387128712774,0.0
AI3 PiecePos-Analyzing_10,3.94,1.02,15.86,1.32,1.74,1.01,1.10,0.41,276.0319999999999,277.72387128712774,0.0
AI3 PiecePos-Analyzing_6,4.02,1.02,16.22,1.32,1.72,1.02,1.10,0.41,282.10599999999994,277.72387128712774,1.0
AI3 PiecePos-Analyzing_7,4.09,1.02,15.95,1.28,1.76,0.99,1.12,0.40,278.03400000000005,277.72387128712774,1.0
AI3 PiecePos-Analyzing_8,4.01,0.98,15.89,1.32,1.75,0.98,1.08,0.41,276.70799999999997,277.72387128712774,1.0
