playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,4.01,0.99,15.77,1.28,0.66,1.00,1.09,0.39,273.897,277.5012434210525,1.0
AI3 PiecePos-Analyzing_16,3.97,1.00,15.88,1.30,0.65,0.98,1.10,0.41,275.524,277.5012434210525,0.0
AI3 PiecePos-Analyzing_5,3.94,1.02,15.86,1.30,0.64,1.02,1.13,0.41,275.1689999999999,277.5012434210525,0.0
AI3 PiecePos-Analyzing_26,4.08,1.02,15.94,1.29,0.66,1.00,1.09,0.40,276.9440000000001,277.5012434210525,1.0
AI3 PiecePos-Analyzing_25,3.99,1.01,15.69,1.28,0.64,1.01,1.10,0.39,272.56199999999995,277.5012434210525,0.0
AI3 PiecePos-Analyzing_24,3.93,1.01,15.65,1.32,0.65,1.01,1.08,0.40,271.724,277.5012434210525,0.0
AI3 PiecePos-Analyzing_15,4.05,1.00,16.08,1.29,0.63,1.02,1.09,0.39,279.036,277.5012434210525,0.0
AI3 PiecePos-Analyzing_13,3.90,0.99,15.67,1.30,0.66,0.98,1.07,0.39,271.84100000000007,277.5012434210525,0.0
AI3 PiecePos-Analyzing_29,4.01,1.00,15.72,1.29,0.64,0.99,1.09,0.40,273.09800000000007,277.5012434210525,0.5
AI3 PiecePos-Analyzing_22,4.08,1.02,16.06,1.32,0.65,0.98,1.13,0.39,278.91499999999996,277.5012434210525,0.0
AI3 PiecePos-Analyzing_9,3.96,1.02,15.96,1.31,0.65,1.01,1.08,0.39,276.79699999999997,277.5012434210525,0.0
AI3 PiecePos-Analyzing_2,4.05,0.99,15.73,1.33,0.64,1.02,1.09,0.41,273.49399999999997,277.5012434210525,1.0
AI3 PiecePos-Analyzing_20,4.00,1.01,16.06,1.31,0.65,0.99,1.08,0.40,278.53099999999995,277.5012434210525,0.5
AI3 PiecePos-Analyzing_17,3.97,0.98,15.87,1.30,0.65,0.99,1.10,0.40,275.34999999999997,277.5012434210525,0.0
AI3 PiecePos-Analyzing_21,4.01,1.00,15.93,1.31,0.65,0.98,1.10,0.40,276.493,277.5012434210525,0.5
AI3 PiecePos-Analyzing_3,3.95,1.01,16.07,1.33,0.66,1.01,1.07,0.40,278.53400000000005,277.5012434210525,0.0
AI3 PiecePos-Analyzing_1,3.94,0.99,15.81,1.30,0.64,0.99,1.08,0.40,274.25000000000006,277.5012434210525,0.0
AI3 PiecePos-Analyzing_18,3.95,1.01,15.85,1.32,0.66,1.01,1.09,0.41,275.027,277.5012434210525,0.0
AI3 PiecePos-Analyzing_11,3.92,0.98,16.11,1.32,0.65,0.98,1.10,0.40,279.00600000000003,277.5012434210525,0.0
AI3 PiecePos-Analyzing_23,3.95,1.02,15.92,1.32,0.63,0.99,1.10,0.39,276.11600000000004,277.5012434210525,0.0
AI3 PiecePos-Analyzing_14,4.00,0.99,16.12,1.32,0.66,1.01,1.09,0.41,279.52700000000004,277.5012434210525,0.0
AI3 PiecePos-Analyzing_19,3.97,1.01,15.82,1.28,0.64,1.01,1.10,0.40,274.566,277.5012434210525,0.0
AI3 PiecePos-Analyzing_12,3.92,1.02,15.79,1.30,0.63,0.98,1.10,0.40,273.884,277.5012434210525,0.0
AI3 PiecePos-Analyzing_28,3.97,1.02,15.98,1.30,0.63,1.01,1.10,0.39,277.15,277.5012434210525,0.0
AI3 PiecePos-Analyzing_30,3.93,1.02,15.77,1.28,0.65,1.00,1.11,0.39,273.621,277.5012434210525,0.0
AI3 PiecePos-Analyzing_10,3.91,0.99,16.01,1.28,0.65,1.00,1.12,0.39,277.362,277.5012434210525,0.0
AI3 PiecePos-Analyzing_6,4.00,0.98,15.97,1.30,0.66,0.98,1.07,0.39,277.03100000000006,277.5012434210525,0.0
AI3 PiecePos-Analyzing_7,3.96,0.98,16.21,1.32,0.65,1.01,1.12,0.40,280.81800000000004,277.5012434210525,0.0
AI3 PiecePos-Analyzing_27,3.91,1.00,16.32,1.29,0.66,0.98,1.12,0.40,282.3370000000001,277.5012434210525,0.0
AI3 PiecePos-Analyzing_8,3.93,1.01,16.27,1.32,0.65,0.99,1.10,0.40,281.646,277.5012434210525,0.0
